author,Start,End,Price,lower bound,upper bound,route,Currency,Price EUR 2014,Service,Year,Source,Comment
Adam (GITOC),Addis Ababa,Italy,"3,850",,,Central Med+,USD,3850,Overland and boat,2015,"AllAfrica.com, 29 April 2015, http://allafrica.com/stories/201504301057.html",Cost including all transportation and documentation
Adam (GITOC),Addis Ababa,Khartoum,650,500,800,,USD,490,"Foot, truck, or plane",2013,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf",3 routes. First is Addis to Metema (Eth) to Gedaref state (Sudan) to Khartoum. Second is Addis to Humera (Eth) to Gedaref to Khartoum. Third is plane directly from Addis to Khartoum
Adam (GITOC),Addis Ababa,"Metema, Ethiopia",25,,,,USD,25,Minibus,2015,"AllAfrica.com, 29 April 2015, http://allafrica.com/stories/201504301057.html",Price for minibus for Ethiopian adults to go from Addis to Ethiopia-Sudan border. Smuggler said that it was only for adults who do not have proper documentation to cross border
nelsonmau,Afganistan,Europe,"8,000","6,000","10,000",East Med Land,EUR,8000,,2015,http://www.tempi.it/indagine-sulla-mafia-dei-clandestini#.VVGOW3VtN5S,
petros,Afganistan,Italy,"11,600",,,,EUR,12153,Airplane,2011,http://www.enet.gr/?i=news.el.article&id=240240,
petros,Afganistan,Italy,"3,000",,,,EUR,3016,Truck,2013,http://www.naftemporiki.gr/story/703467/eksarthrosi-kuklomatos-diakinisis-metanaston-sti-thessaloniki,
Lise,Afghanisatn,Denmark,"15,000",,,,USD,11250,Truck,2014,"Organisation: Refugees Welcome, Denmark",Cost per person
Lise,Afghanistan,Denmark,"8,000",,,,USD,8165,"
",2012,"Organization, Refugees Welcome, Denmark",Costs per person
alice,Afghanistan,Germany,"20,000",,,,EUR,22051,diverse,2009,"Süddeutsche Zeitung, April 25th 2015","via Iran, Turkey, Greece - costs per person
"
sgr,Afghanistan,Iran,500,,,,USD,377,Car,2011,"Profil, December 12th 2011",Costs per person
Adam (GITOC),Afghanistan,Greece,"5,500",,,East Med Sea+,EUR,6348,"Overland, sometimes followed by boat",2007,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","On foot or by car to Iranian border, by car/bus to Istanbul (via Zahedan and Van), then either overland across the Evros or overland to Izmir and boat to Greek islands"
Adam (GITOC),Afghanistan,Greece,"9,500","7,000","12,000",East Med Sea+,EUR,,"Overland, sometimes followed by boat",2009,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","On foot or by car to Iranian border, by car/bus to Istanbul (via Zahedan and Van), then either overland across the Evros or overland to Izmir and boat to Greek islands"
Adam (GITOC),Afghanistan,Greece,"5,000","4,500","5,500",East Med Sea+,EUR,,"Overland, sometimes followed by boat",2010,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","On foot or by car to Iranian border, by car/bus to Istanbul (via Zahedan and Van), then either overland across the Evros or overland to Izmir and boat to Greek islands"
Adam (GITOC),Afghanistan,Greece,"5,000",,,East Med Sea+,EUR,5400,"Overland, sometimes followed by boat",2010,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Overland (foot, car, or bus) to Quetta, Pakistan, then on foot or by car to Iranian border, by car/bus to Istanbul (via Zahedan and Van), then either overland across the Evros or overland to Izmir and boat to Greek islands"
Adam (GITOC),Afghanistan,Europe,"10,000","8,000","12,000",,EUR,,Various forms of transportation,2014,"Swiss government, 2014, http://www.ksmm.admin.ch/dam/data/ksmm/dokumentation/berichte/ber-ksmm-2014-f.pdf","Via Iran, Turkey, and Austria"
sgr,Africa,Spain,"5,000","4,000","6,000",West Med,EUR,5000,Flight,2014,"Neue Luzerner Zeitung, July 28th 2014",Costs per person
petros,Africa,Greece,"1,850","1,200","2,500",,EUR,1860,Boat + Vehicle,2013,http://www.naftemporiki.gr/story/516897/eksarthrothike-megalo-kukloma-diakinisis-lathrometanaston,
nkb,Agadez,Al Qatrun,"150,000",,,,XOF,225,Toyota Hilux,2014,http://www.reuters.com/article/2014/05/15/us-europe-immigration-niger-specialrepor-idUSBREA4E08W20140517,
nkb,Agadez,Al Qatrun,"115,000",,,,XOF,173,Toyota Hilux,2013,http://www.reuters.com/article/2014/05/15/us-europe-immigration-niger-specialrepor-idUSBREA4E08W20140518,
nkb,Agadez,Al Qatrun,"40,000",,,,XOF,74,lorry,2004,http://www.nolager.de/blog/node/286/,In F. Gatti's book
nkb,Agadez,Al Qatrun,35,,,,USD,26,per migrant in bribes (drivers pay a 350 USD fee),2013,http://www.reuters.com/article/2014/05/15/us-europe-immigration-niger-specialrepor-idUSBREA4E08W20140519,
nkb,Agadez,Libya,"115,000","80,000","150,000",,XOF,190,"lower bound, no transport indicated",2009,http://books.google.fr/books?id=Cg-Z9ZXPwiEC&pg=PA77&lpg=PA77&dq=migrant+paid+dollars+agadez&source=bl&ots=z2p96nlqTS&sig=qz-TZaVlg70ixMfPSlyNY51F1iI&hl=en&sa=X&ei=PYuQU9zgNcua1AWT2YGwAg&redir_esc=y#v=onepage&q=migrant%20paid%20dollars%20agadez&f=false,
nkb,Agadez,Libya,"75,000","50,000","100,000",,XOF,144,"lower bound, no transport indicated",2002,http://books.google.fr/books?id=Cg-Z9ZXPwiEC&pg=PA77&lpg=PA77&dq=migrant+paid+dollars+agadez&source=bl&ots=z2p96nlqTS&sig=qz-TZaVlg70ixMfPSlyNY51F1iI&hl=en&sa=X&ei=PYuQU9zgNcua1AWT2YGwAg&redir_esc=y#v=onepage&q=migrant%20paid%20dollars%20agadez&f=false,English speakers pay more in bribes in Niger.
Adam (GITOC),Agadez,Qatroun (Libya),"150,000",,,,XAF,150000,Pickup,2014,"Reuters, 15 May 2014, http://www.reuters.com/article/2014/05/15/us-europe-immigration-niger-specialrepor-idUSBREA4E08W20140515",
Adam (GITOC),Agadez,Qatroun (Libya),"115,000",,,,XAF,115632,Pickup,2013,"Reuters, 15 May 2014, http://www.reuters.com/article/2014/05/15/us-europe-immigration-niger-specialrepor-idUSBREA4E08W20140515",
Adam (GITOC),Agadez,Sabha,250,,,,USD,250,Vehicle,2015,"Yahoo News, 28 May 2015, http://news.yahoo.com/african-migrants-risk-sahara-reach-europe-143128201.html",
nkb,Agadez,Sebah,300,,,,USD,225,Toyota,2014,http://www.globalinitiative.net/download/global-initiative/Global%20Initiative%20-%20Migration%20from%20Africa%20to%20Europe%20-%20May%202014.pdf,
Adam (GITOC),Agadez,Tamanrasset,175,50,300,,USD,132,Vehicle,2013,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf","Agadez to Arlit (Niger), Arlit to Assamaka (Niger) in pickups, Assamaka to in-Guezzam (Alg) and then to Tamanrasset"
nkb,Agadez,Tripoli,"2,500",,,,USD,1875,"approx, no bribes included",2014,http://www.globalinitiative.net/download/global-initiative/Global%20Initiative%20-%20Migration%20from%20Africa%20to%20Europe%20-%20May%202014.pdf,
Adam (GITOC),Agadez,Sabha,500,,,,USD,377,Truck,2011,"USIP, 2014, http://www.usip.org/sites/default/files/PW96-Illicit-Trafficking-and-Libyas-Transition.pdf",Price for a Nigerian man
nkb,Agadez,Sabah,225,150,300,,USD,198,Truck,2015,http://www.washingtonpost.com/sf/world/2015/07/20/a-remote-city-of-smugglers/,
Adam (GITOC),"Agadez, Niger",Sabha,200,100,300,,USD,151,Bus/car,2013,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf","Agadez to Dirkou by bus/pickup, Dirkou to Madama, Madama to Tumo (Niger/Libya border), Tumo to Qatrun (Libya), Qatroun to Morzouk or Um Al-Aranib, then to Sebha"
nkb,"Agadez, Niger","Tripoli, Libya ",,,"2,000",,EUR,,,2004,https://www.bfm.admin.ch/dam/data/bfm/publiservice/service/forschung/illegale_migrationpublic.pdf,p. 6
Adam (GITOC),Ajdabiya,Benghazi,250,,,,LYD,148,Overland,2013,"USIP, 2014, http://www.usip.org/sites/default/files/PW96-Illicit-Trafficking-and-Libyas-Transition.pdf",Price for a Sudanese man
nkb,Al Qatrun,Agadez,"100,000",,,,XOF,181,lorry,2005,http://www.nolager.de/blog/node/286/,In F. Gatti's book
alice,Albania,Italy,"6,000","2,000","10,000",,DEM,4007,diverse,2001,"Basler Zeitung, February 7th, 2001",remuneration for middleman per passenger
sgr,Albania,Italy,"2,000",,,Central Med,USD,2933,Ferry,2001,"Spiegel, April 30th 2001",Costs per person
sgr,Albania,Italy,600,,,Central Med,USD,880,Boat,2001,"Spiegel, April 30th 2001",Costs per person
sgr,Albania,Italy,"4,000",,,East Med Sea,USD,5866,Flight,2001,"Spiegel, April 30th 2001",Costs per person
petros,Albania,Greece,"1,500","1,000","2,000",,EUR,1670,Vehicle,2008,http://www.naftemporiki.gr/story/203189/eksarthrothike-speira-pou-diakinouse-albanous-lathrometanastes-me-klemmena-autokinita,
petros,Albania,Greece,500,,,,EUR,500,Vehicles,2014,http://agrinioreport.com/%CF%83%CF%84%CE%B7-%CF%86%CF%85%CE%BB%CE%B1%CE%BA%CE%AE-%CE%BF%CE%B9-%CE%BB%CE%B1%CE%B8%CF%81%CE%BF%CE%B4%CE%B9%CE%B1%CE%BA%CE%B9%CE%BD%CE%B7%CF%84%CE%AD%CF%82/,
Adam (GITOC),Aleppo,Europe,"6,000",,,,USD,4500,,2014,"The Guardian, 20 October 2014, http://www.theguardian.com/world/2014/oct/20/-sp-migrants-tales-asylum-sea-mediterranean",Via Turkey and Libya.
Adam (GITOC),Alexandria,Europe,"3,000",,,Central Med,USD,3016,Boat,2013,"Foreign Policy, 16 October 2013, http://foreignpolicy.com/2013/10/16/at-sea/","Price for Syrian to go by boat from Alexandria, Egypt, to Europe"
Adam (GITOC),Alexandria,Lampedusa,"2,500",,,Central Med,EUR,2500,Boat,2014,"Q Code Magazine, 10 March 2015, http://www.qcodemag.it/2015/03/10/corridoio-nord-la-nuova-rotta-dei-migranti/",Price for a Syrian
Adam (GITOC),Algeria,Italy,"2,500",,,Central Med,USD,2500,Wooden boat,2015,"Daniel Adamson, 13 May 2015, http://www.bbc.com/news/magazine-32707346",Facebook-advertised price for Algeria-Italy journey via Libya
Adam (GITOC),Algeria,Libya,300,,,,USD,300,Overland travel,2015,"Deutsche Welle, 24 April 2015, http://www.dw.de/one-syrian-refugees-odyssey-to-europe/a-18407711",Price per person for a group of 12 Syrians
alice,Algeria,Morocco,"1,500",,,,EUR,1500,diverse,2015,WOZ Nr. 17 23. April 2015,Costs per person
Adam (GITOC),Algeria,Morocco,300,,,,EUR,314,"""Taxi/mafia""",2011,"Europe-Solidaire, 27 November 2013, http://www.europe-solidaire.org/spip.php?article30491",Price for a Malian man
Adam (GITOC),Algeria,Sardinia,700,,,Central Med,EUR,733,"Boat (special boat called a ""harraga"")",2011,"INHESJ, February 2013, http://www.inhesj.fr/sites/default/files/trafic_illicite_de_migrants_v2.pdf",Apparently very infrequently used
sgr,Algeria,Spain,"5,000","4,000","6,000",West Med,EUR,5000,Ferry,2014,"Neue Luzerner Zeitung, July 28th 2014",Costs per person
Adam (GITOC),Algeria,Spain,700,,,West Med,EUR,733,"Boat (special boat called a ""harraga"")",2011,"INHESJ, February 2013, http://www.inhesj.fr/sites/default/files/trafic_illicite_de_migrants_v2.pdf","Price, apparently, for Algerians"
Adam (GITOC),Algeria,Greece,"1,000",,,East Med Sea+,EUR,1080,"Overland/boat, then plane, then overland",2010,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","To Egypt, then plane to Istanbul, then overland across Evros to Greece"
Adam (GITOC),"Annaba, Algeria",Spain,"1,500",,,West Med,EUR,1571,Fishing boat,2011,"INHESJ, February 2013, http://www.inhesj.fr/sites/default/files/trafic_illicite_de_migrants_v2.pdf",Sometimes also on ferries. Some head for Almeria and mainland Spain; others for the Balearic Islands
Adam (GITOC),"Arlit, Niger",Tamanrasset,"30,000",,,,XAF,45,Truck,2014,"Der Spiegel, 21 October 2014, http://www.spiegel.de/international/world/tragedy-in-sahara-desert-as-refugees-aim-for-european-union-a-997164.html",Price lower than standard fare; traffickers charged reduced price because migrant couldn't pay full fare
Adam (GITOC),"Arlit, Niger",Tamanrasset,150,,,,EUR,150,Truck,2014,"Der Spiegel, 21 October 2014, http://www.spiegel.de/international/world/tragedy-in-sahara-desert-as-refugees-aim-for-european-union-a-997164.html","Price for 4 adults and 3 small children in a truck. Significantly below full fare, negotiated down because of inability to pay full price"
nkb,Armenia,Europe,"1,750","1,000","2,500",,EUR,2158,,2004,https://www.bfm.admin.ch/dam/data/bfm/publiservice/service/forschung/illegale_migrationpublic.pdf,p. 6
petros,Asia,Greece,"4,000",,,,EUR,4725,Boat,2006,http://www.kathimerini.gr/252722/article/epikairothta/ellada/4000-eyrw-o-ka8e-la8rometanasths,
petros,Asia,Greece,"3,650","3,500","3,800",,EUR,3650,,2014,http://www.naftemporiki.gr/story/789197/thessaloniki-duo-sullipseis-gia-metafora-mi-nomimon-metanaston,
petros,Asia,Greece,"2,000","1,000","3,000",,EUR,2000,Boats,2014,http://news247.gr/eidiseis/koinonia/erxetai-tsoynami-metanastwn-sthn-ellada.3009384.html,
petros,Asia,Italy,"4,750","3,000","6,500",,EUR,4750,Ship,2014,http://www.protothema.gr/greece/article/431075/ston-eisaggelea-oi-sullifthedes-apo-to-douleboriko-baris/,
